SOR,ID,KATEGÓRIA,MODUL,VÁLTOZAT,HELY,MEZŐ,PLATFORM,JELENLEGI SZÖVEG,JAVÍTOTT SZÖVEG,MEGJEGYZÉS,FÁJL
484,18.PROTOCOL.baseline.hint.desktop,1 FELADAT,18 PROTOCOL,-,baseline,IRÁNYÍTÁS sor,asztali,Kattints a kezelőszervre,,,packages/client/src/modules/
485,18.PROTOCOL.baseline.hint.mobile,1 FELADAT,18 PROTOCOL,-,baseline,IRÁNYÍTÁS sor,mobil,Koppints a kezelőszervre,,,packages/client/src/modules/
486,18.PROTOCOL.interrupted.cim,1 FELADAT,18 PROTOCOL,-,interrupted,blokk címe,mind,MEGSZAKÍTÁS,,,packages/client/src/modules/
487,18.PROTOCOL.interrupted.instruction.vr,1 FELADAT,18 PROTOCOL,-,interrupted,instrukció,VR,"Ugyanez, de közben kétszer félbeszakítalak egy rövid másik feladattal: egy panel jelenik meg négy alakzattal, és azt kell megmutatnod, melyik nem illik a többihez. Ha végeztél vele, fordulj vissza az eljáráshoz, és folytasd pontosan onnan, ahol abbahagytad.",,,packages/client/src/modules/
488,18.PROTOCOL.interrupted.instruction.desktop,1 FELADAT,18 PROTOCOL,-,interrupted,instrukció,asztali,"Ugyanez, de közben kétszer félbeszakítalak egy rövid másik feladattal: egy panel jelenik meg négy alakzattal, és arra kell kattintanod, amelyik nem illik a többihez. Ha végeztél vele, folytasd az eljárást pontosan onnan, ahol abbahagytad.",,,packages/client/src/modules/
489,18.PROTOCOL.interrupted.instruction.mobile,1 FELADAT,18 PROTOCOL,-,interrupted,instrukció,mobil,"Ugyanez, de közben kétszer félbeszakítalak egy rövid másik feladattal: egy panel jelenik meg négy alakzattal, és arra kell koppintanod, amelyik nem illik a többihez. Ha végeztél vele, folytasd az eljárást pontosan onnan, ahol abbahagytad.",,,packages/client/src/modules/
490,18.PROTOCOL.interrupted.hint.vr,1 FELADAT,18 PROTOCOL,-,interrupted,IRÁNYÍTÁS sor,VR,Fordulj az állomás felé · sugár a kezelőszervre + RAVASZ,,,packages/client/src/modules/
491,18.PROTOCOL.interrupted.hint.desktop,1 FELADAT,18 PROTOCOL,-,interrupted,IRÁNYÍTÁS sor,asztali,Kattints a kezelőszervre,,,packages/client/src/modules/
492,18.PROTOCOL.interrupted.hint.mobile,1 FELADAT,18 PROTOCOL,-,interrupted,IRÁNYÍTÁS sor,mobil,Koppints a kezelőszervre,,,packages/client/src/modules/
493,18.PROTOCOL.revised.cim,1 FELADAT,18 PROTOCOL,-,revised,blokk címe,mind,NYOMÁS ÉS VÁLTOZÁS,,,packages/client/src/modules/
494,18.PROTOCOL.revised.instruction,1 FELADAT,18 PROTOCOL,-,revised,instrukció,mind,"Két menet. Az elsőben fogy az idő — egy számláló mutatja —, de a sorrend fontosabb, mint a sebesség. A második előtt megváltoztatom az eljárás egy lépését, és ezt csak egyszer mondom el; utána az új lépés szerint hajtsd végre.",,,packages/client/src/modules/
495,18.PROTOCOL.revised.hint.vr,1 FELADAT,18 PROTOCOL,-,revised,IRÁNYÍTÁS sor,VR,Fordulj az állomás felé · sugár a kezelőszervre + RAVASZ,,,packages/client/src/modules/
496,18.PROTOCOL.revised.hint.desktop,1 FELADAT,18 PROTOCOL,-,revised,IRÁNYÍTÁS sor,asztali,Kattints a kezelőszervre,,,packages/client/src/modules/
497,18.PROTOCOL.revised.hint.mobile,1 FELADAT,18 PROTOCOL,-,revised,IRÁNYÍTÁS sor,mobil,Koppints a kezelőszervre,,,packages/client/src/modules/
498,19.INTENT.frontal.cim,1 FELADAT,19 INTENT,-,frontal,blokk címe,mind,MERRE INDUL,,,packages/client/src/modules/
499,19.INTENT.frontal.instruction.vr,1 FELADAT,19 INTENT,-,frontal,instrukció,VR,"Egy fénypontokból álló alak áll előtted. Elindul balra vagy jobbra, de menet közben eltűnik — hol korábban, hol később. Mondd meg, merre indult: balra → BAL ravasz, jobbra → JOBB ravasz. Nincs időlimit, válaszolj nyugodtan. Utána megkérdezem, mennyire voltál biztos benne: a panelen válaszd a TIPP, TALÁN vagy BIZTOS gombot. Figyelem: az alak néha becsap — elindul az egyik irányba, aztán mégis a másikba megy. Ez a feladat része.",,,packages/client/src/modules/
500,19.INTENT.frontal.instruction.desktop,1 FELADAT,19 INTENT,-,frontal,instrukció,asztali,"Egy fénypontokból álló alak áll előtted. Elindul balra vagy jobbra, de menet közben eltűnik — hol korábban, hol később. Mondd meg, merre indult: balra → F billentyű (vagy ←), jobbra → J billentyű (vagy →). Nincs időlimit, válaszolj nyugodtan. Utána megkérdezem, mennyire voltál biztos benne: kattints a TIPP, TALÁN vagy BIZTOS gombra. Figyelem: az alak néha becsap — elindul az egyik irányba, aztán mégis a másikba megy. Ez a feladat része.",,,packages/client/src/modules/
501,19.INTENT.frontal.instruction.mobile,1 FELADAT,19 INTENT,-,frontal,instrukció,mobil,"Egy fénypontokból álló alak áll előtted. Elindul balra vagy jobbra, de menet közben eltűnik — hol korábban, hol később. Mondd meg, merre indult: a képernyő alján a BAL vagy a JOBB gombbal. Nincs időlimit, válaszolj nyugodtan. Utána megkérdezem, mennyire voltál biztos benne: TIPP, TALÁN vagy BIZTOS. Figyelem: az alak néha becsap — elindul az egyik irányba, aztán mégis a másikba megy. Ez a feladat része.",,,packages/client/src/modules/
502,19.INTENT.frontal.hint.vr,1 FELADAT,19 INTENT,-,frontal,IRÁNYÍTÁS sor,VR,Balra → BAL ravasz · jobbra → JOBB ravasz · utána TIPP / TALÁN / BIZTOS a panelen,,,packages/client/src/modules/
503,19.INTENT.frontal.hint.desktop,1 FELADAT,19 INTENT,-,frontal,IRÁNYÍTÁS sor,asztali,Balra → F vagy ← · jobbra → J vagy → · utána TIPP / TALÁN / BIZTOS kattintással,,,packages/client/src/modules/
504,19.INTENT.frontal.hint.mobile,1 FELADAT,19 INTENT,-,frontal,IRÁNYÍTÁS sor,mobil,BAL / JOBB gomb · utána TIPP / TALÁN / BIZTOS gomb,,,packages/client/src/modules/
505,19.INTENT.depth.cim,1 FELADAT,19 INTENT,-,depth,blokk címe,mind,FELÉM VAGY EL,,,packages/client/src/modules/
506,19.INTENT.depth.instruction,1 FELADAT,19 INTENT,-,depth,instrukció,mind,"Az alak most nem oldalra indul, hanem FELÉD vagy TŐLED EL. Végig akkorának látszik, amekkora — a távolságát nem a mérete árulja el. Ha feléd jött → BAL ravasz, ha tőled el → JOBB ravasz. Utána ugyanúgy a magabiztosság.",,,packages/client/src/modules/
507,19.INTENT.depth.hint,1 FELADAT,19 INTENT,-,depth,IRÁNYÍTÁS sor,mind,Balra → BAL ravasz · jobbra → JOBB ravasz · utána TIPP / TALÁN / BIZTOS a panelen,,,packages/client/src/modules/
508,19.INTENT.peripheral.cim,1 FELADAT,19 INTENT,-,peripheral,blokk címe,mind,OLDALRÓL,,,packages/client/src/modules/
509,19.INTENT.peripheral.instruction,1 FELADAT,19 INTENT,-,peripheral,instrukció,mind,"Ugyanaz a feladat, de az alak jóval oldalt jelenik meg, a látómeződ szélén. Fordulj felé, ha kell — a mozdulat akkor is elindul. Balra → BAL ravasz, jobbra → JOBB ravasz, utána a magabiztosság.",,,packages/client/src/modules/
510,19.INTENT.peripheral.hint,1 FELADAT,19 INTENT,-,peripheral,IRÁNYÍTÁS sor,mind,Balra → BAL ravasz · jobbra → JOBB ravasz · utána TIPP / TALÁN / BIZTOS a panelen,,,packages/client/src/modules/
511,01.SIGNAL.setupTouchControls.1,2 FUTÁS KÖZBEN,01 SIGNAL,-,setupTouchControls,mobil súgósor,mind,"Koppints a narancssárga célra. Ha nincs a tömbben, nyomd meg a NINCS CÉL gombot.",,,packages/client/src/modules/signal/SignalModule.ts:549
512,01.SIGNAL.setupTouchControls.2,2 FUTÁS KÖZBEN,01 SIGNAL,-,setupTouchControls,gombfelirat,mind,NINCS CÉL,,,packages/client/src/modules/signal/SignalModule.ts:551
513,01.SIGNAL.setupTouchControls.3,2 FUTÁS KÖZBEN,01 SIGNAL,-,setupTouchControls,mobil súgósor,mind,"Koppints a felvillant gömbökre, majd KÉSZ.",,,packages/client/src/modules/signal/SignalModule.ts:558
514,01.SIGNAL.setupTouchControls.4,2 FUTÁS KÖZBEN,01 SIGNAL,-,setupTouchControls,gombfelirat,mind,KÉSZ,,,packages/client/src/modules/signal/SignalModule.ts:560
515,01.SIGNAL.setupTouchControls.5,2 FUTÁS KÖZBEN,01 SIGNAL,-,setupTouchControls,mobil súgósor,mind,"Koppints arra az objektumra, amelyik változik.",,,packages/client/src/modules/signal/SignalModule.ts:566
516,01.SIGNAL.setupTouchControls.6,2 FUTÁS KÖZBEN,01 SIGNAL,-,setupTouchControls,mobil súgósor,mind,"Tartsd az egyik ujjad a középső gyűrűn. Amint a szélén felvillan valami, a másik kezeddel nyomd meg a gombot.",,,packages/client/src/modules/signal/SignalModule.ts:573
517,01.SIGNAL.setupTouchControls.7,2 FUTÁS KÖZBEN,01 SIGNAL,-,setupTouchControls,gombfelirat,mind,VILLANÁS,,,packages/client/src/modules/signal/SignalModule.ts:575
518,01.SIGNAL.setupTouchControls.8,2 FUTÁS KÖZBEN,01 SIGNAL,-,setupTouchControls,gomb alsó sor,mind,a szemem sarkából láttam,,,packages/client/src/modules/signal/SignalModule.ts:575
519,01.SIGNAL.finish.9,2 FUTÁS KÖZBEN,01 SIGNAL,-,finish,eredménysor címe,mind,Keresési meredekség (konjunkció),,,packages/client/src/modules/signal/SignalModule.ts:1442
520,01.SIGNAL.finish.10,2 FUTÁS KÖZBEN,01 SIGNAL,-,finish,eredménysor címe,mind,Keresési pontosság (d′),,,packages/client/src/modules/signal/SignalModule.ts:1443
521,01.SIGNAL.finish.11,2 FUTÁS KÖZBEN,01 SIGNAL,-,finish,eredménysor címe,mind,Követési kapacitás,,,packages/client/src/modules/signal/SignalModule.ts:1444
522,01.SIGNAL.finish.12,2 FUTÁS KÖZBEN,01 SIGNAL,-,finish,eredménysor címe,mind,Változásészlelés,,,packages/client/src/modules/signal/SignalModule.ts:1445
523,01.SIGNAL.finish.13,2 FUTÁS KÖZBEN,01 SIGNAL,-,finish,eredménysor címe,mind,Perifériás detekció,,,packages/client/src/modules/signal/SignalModule.ts:1446
524,01.SIGNAL.finish.14,2 FUTÁS KÖZBEN,01 SIGNAL,-,finish,eredménysor címe,mind,Téves riasztás,,,packages/client/src/modules/signal/SignalModule.ts:1447
525,01.SIGNAL-B.drawControl.1,2 FUTÁS KÖZBEN,01 SIGNAL-B,-,drawControl,gombfelirat,mind,NINCS CÉL,,,packages/client/src/modules/signal/SignalSpatialModule.ts:894
526,01.SIGNAL-B.finish.2,2 FUTÁS KÖZBEN,01 SIGNAL-B,-,finish,eredménysor címe,mind,Keresési meredekség,,,packages/client/src/modules/signal/SignalSpatialModule.ts:1071
527,01.SIGNAL-B.finish.3,2 FUTÁS KÖZBEN,01 SIGNAL-B,-,finish,eredménysor címe,mind,Mélységi keresésvezérlés,,,packages/client/src/modules/signal/SignalSpatialModule.ts:1073
528,01.SIGNAL-B.finish.4,2 FUTÁS KÖZBEN,01 SIGNAL-B,-,finish,eredménysor címe,mind,Keresési pontosság (d′),,,packages/client/src/modules/signal/SignalSpatialModule.ts:1077
529,01.SIGNAL-B.finish.5,2 FUTÁS KÖZBEN,01 SIGNAL-B,-,finish,eredménysor címe,mind,Követés takarással,,,packages/client/src/modules/signal/SignalSpatialModule.ts:1078
530,01.SIGNAL-B.finish.6,2 FUTÁS KÖZBEN,01 SIGNAL-B,-,finish,eredménysor címe,mind,Mélységi változás,,,packages/client/src/modules/signal/SignalSpatialModule.ts:1079
531,01.SIGNAL-B.finish.7,2 FUTÁS KÖZBEN,01 SIGNAL-B,-,finish,eredménysor címe,mind,Hátsó cél megtalálása,,,packages/client/src/modules/signal/SignalSpatialModule.ts:1082
532,01.SIGNAL-B.finish.8,2 FUTÁS KÖZBEN,01 SIGNAL-B,-,finish,eredménysor magyarázata,mind,sík nézetben nincs hátsó szektor,,,packages/client/src/modules/signal/SignalSpatialModule.ts:1083
533,01.SIGNAL-B.finish.9,2 FUTÁS KÖZBEN,01 SIGNAL-B,-,finish,eredménysor címe,mind,Körkörös keresés,,,packages/client/src/modules/signal/SignalSpatialModule.ts:1083
534,03.NAV.calibrate.1,2 FUTÁS KÖZBEN,03 NAV,-,calibrate,kérdéssor alatt,mind,Jegyezd meg. Ez lesz az egyik tájékozódási pontod.,,,packages/client/src/modules/nav/NavModule.ts:551
535,03.NAV.runTriangle.2,2 FUTÁS KÖZBEN,03 NAV,-,runTriangle,kérdéssor,mind,Merre van a kiindulópont?,,,packages/client/src/modules/nav/NavModule.ts:907
536,03.NAV.runTriangle.3,2 FUTÁS KÖZBEN,03 NAV,-,runTriangle,kérdéssor,mind,Milyen messze van?,,,packages/client/src/modules/nav/NavModule.ts:923
537,03.NAV.runTriangle.4,2 FUTÁS KÖZBEN,03 NAV,-,runTriangle,kérdéssor alatt,mind,"Állítsd be a csúszkán, majd nyomd meg a MEHET gombot.",,,packages/client/src/modules/nav/NavModule.ts:924
538,03.NAV.runTriangle.5,2 FUTÁS KÖZBEN,03 NAV,-,runTriangle,mobil súgósor,mind,Milyen messze van a kiindulópont?,,,packages/client/src/modules/nav/NavModule.ts:932
539,03.NAV.runTriangle.6,2 FUTÁS KÖZBEN,03 NAV,-,runTriangle,gombfelirat,mind,Becsült távolság,,,packages/client/src/modules/nav/NavModule.ts:934
540,03.NAV.runTriangle.7,2 FUTÁS KÖZBEN,03 NAV,-,runTriangle,gombfelirat,mind,MEHET,,,packages/client/src/modules/nav/NavModule.ts:939
541,03.NAV.setupTouchControls.8,2 FUTÁS KÖZBEN,03 NAV,-,setupTouchControls,mobil súgósor,mind,"Húzd az ujjad a képernyőn, hogy körülnézz. A haladás automatikus.",,,packages/client/src/modules/nav/NavModule.ts:1119
542,03.NAV.setupTouchControls.9,2 FUTÁS KÖZBEN,03 NAV,-,setupTouchControls,mobil súgósor,mind,"Húzd az ujjad a körülnézéshez, majd koppints arra a nyílra, amerre menni akarsz.",,,packages/client/src/modules/nav/NavModule.ts:1125
543,03.NAV.setupTouchControls.10,2 FUTÁS KÖZBEN,03 NAV,-,setupTouchControls,mobil súgósor,mind,"Fordulj a becsült irány felé, hogy a célkereszt arra mutasson, majd erősítsd meg.",,,packages/client/src/modules/nav/NavModule.ts:1133
544,03.NAV.setupTouchControls.11,2 FUTÁS KÖZBEN,03 NAV,-,setupTouchControls,gombfelirat,mind,ERRE VAN,,,packages/client/src/modules/nav/NavModule.ts:1135
545,03.NAV.setupTouchControls.12,2 FUTÁS KÖZBEN,03 NAV,-,setupTouchControls,mobil súgósor,mind,"Koppints a térképen arra a pontra, ahol szerinted vagy.",,,packages/client/src/modules/nav/NavModule.ts:1141
546,03.NAV.drawPrompt.13,2 FUTÁS KÖZBEN,03 NAV,-,drawPrompt,panelszöveg,mind,2 m,,,packages/client/src/modules/nav/NavModule.ts:1345
547,03.NAV.drawPrompt.14,2 FUTÁS KÖZBEN,03 NAV,-,drawPrompt,panelszöveg,mind,30 m,,,packages/client/src/modules/nav/NavModule.ts:1346
548,03.NAV.finish.15,2 FUTÁS KÖZBEN,03 NAV,-,finish,eredménysor címe,mind,Iránybecslési hiba,,,packages/client/src/modules/nav/NavModule.ts:1539
549,03.NAV.finish.16,2 FUTÁS KÖZBEN,03 NAV,-,finish,eredménysor címe,mind,Útvonal-újrajárás,,,packages/client/src/modules/nav/NavModule.ts:1540
550,03.NAV.finish.17,2 FUTÁS KÖZBEN,03 NAV,-,finish,eredménysor címe,mind,Útvonal-rugalmasság,,,packages/client/src/modules/nav/NavModule.ts:1541
551,03.NAV.finish.18,2 FUTÁS KÖZBEN,03 NAV,-,finish,eredménysor címe,mind,Útvonal-integráció,,,packages/client/src/modules/nav/NavModule.ts:1543
552,03.NAV.finish.19,2 FUTÁS KÖZBEN,03 NAV,-,finish,eredménysor címe,mind,Térképpozíció,,,packages/client/src/modules/nav/NavModule.ts:1547
553,03.NAV.finish.20,2 FUTÁS KÖZBEN,03 NAV,-,finish,eredménysor címe,mind,Rossz kanyarok,,,packages/client/src/modules/nav/NavModule.ts:1548
554,04.REACT.setupTouchControls.1,2 FUTÁS KÖZBEN,04 REACT,-,setupTouchControls,mobil súgósor,mind,"Koppints bárhol, amint a gömb felvillan.",,,packages/client/src/modules/react/ReactModule.ts:314
555,04.REACT.setupTouchControls.2,2 FUTÁS KÖZBEN,04 REACT,-,setupTouchControls,mobil súgósor,mind,"PIROS → BAL, KÉK → JOBB.",,,packages/client/src/modules/react/ReactModule.ts:318
556,04.REACT.setupTouchControls.3,2 FUTÁS KÖZBEN,04 REACT,-,setupTouchControls,gombfelirat,mind,BAL,,,packages/client/src/modules/react/ReactModule.ts:320
557,04.REACT.setupTouchControls.4,2 FUTÁS KÖZBEN,04 REACT,-,setupTouchControls,gombfelirat,mind,JOBB,,,packages/client/src/modules/react/ReactModule.ts:321
558,04.REACT.setupTouchControls.5,2 FUTÁS KÖZBEN,04 REACT,-,setupTouchControls,mobil súgósor,mind,Koppints pontosan a gyűrű közepére.,,,packages/client/src/modules/react/ReactModule.ts:326
559,04.REACT.setupTouchControls.6,2 FUTÁS KÖZBEN,04 REACT,-,setupTouchControls,mobil súgósor,mind,"Tartsd az ujjad a mozgó gömbön, és kövesd végig.",,,packages/client/src/modules/react/ReactModule.ts:329
560,04.REACT.setupTouchControls.7,2 FUTÁS KÖZBEN,04 REACT,-,setupTouchControls,mobil súgósor,mind,"Amelyik gömb villan, azt az oldalt nyomd. Ha mindkettő, mindkettőt.",,,packages/client/src/modules/react/ReactModule.ts:333
561,04.REACT.finish.8,2 FUTÁS KÖZBEN,04 REACT,-,finish,eredménysor címe,mind,Egyszerű reakció (medián),,,packages/client/src/modules/react/ReactModule.ts:1021
562,04.REACT.finish.9,2 FUTÁS KÖZBEN,04 REACT,-,finish,eredménysor címe,mind,Választásos reakció,,,packages/client/src/modules/react/ReactModule.ts:1022
563,04.REACT.finish.10,2 FUTÁS KÖZBEN,04 REACT,-,finish,eredménysor címe,mind,Döntési többletidő,,,packages/client/src/modules/react/ReactModule.ts:1023
564,04.REACT.finish.11,2 FUTÁS KÖZBEN,04 REACT,-,finish,eredménysor címe,mind,Lapszusok (>500 ms),,,packages/client/src/modules/react/ReactModule.ts:1024
565,04.REACT.finish.12,2 FUTÁS KÖZBEN,04 REACT,-,finish,eredménysor címe,mind,Célon töltött idő,,,packages/client/src/modules/react/ReactModule.ts:1025
566,04.REACT.finish.13,2 FUTÁS KÖZBEN,04 REACT,-,finish,eredménysor címe,mind,Kétkezes eltérés,,,packages/client/src/modules/react/ReactModule.ts:1026
567,04.REACT-B.runReach.1,2 FUTÁS KÖZBEN,04 REACT-B,-,runReach,visszajelzés,mind,KIMARADT,,,packages/client/src/modules/react/ReactSpatialModule.ts:312
568,04.REACT-B.finish.2,2 FUTÁS KÖZBEN,04 REACT-B,-,finish,eredménysor címe,mind,Nyúlási átvitel (Fitts),,,packages/client/src/modules/react/ReactSpatialModule.ts:783
569,04.REACT-B.finish.3,2 FUTÁS KÖZBEN,04 REACT-B,-,finish,eredménysor címe,mind,Végponthiba,,,packages/client/src/modules/react/ReactSpatialModule.ts:784
570,04.REACT-B.finish.4,2 FUTÁS KÖZBEN,04 REACT-B,-,finish,eredménysor címe,mind,Elfogás,,,packages/client/src/modules/react/ReactSpatialModule.ts:785
571,04.REACT-B.finish.5,2 FUTÁS KÖZBEN,04 REACT-B,-,finish,eredménysor címe,mind,Térbeli követés,,,packages/client/src/modules/react/ReactSpatialModule.ts:786
572,04.REACT-B.finish.6,2 FUTÁS KÖZBEN,04 REACT-B,-,finish,eredménysor címe,mind,Mélység vs. oldalirány,,,packages/client/src/modules/react/ReactSpatialModule.ts:787
573,04.REACT-B.finish.7,2 FUTÁS KÖZBEN,04 REACT-B,-,finish,eredménysor címe,mind,Kétkezes eltérés,,,packages/client/src/modules/react/ReactSpatialModule.ts:788
574,05.MULTI.calibrate.1,2 FUTÁS KÖZBEN,05 MULTI,-,calibrate,gombfelirat,mind,KÉSZ VAGYOK,,,packages/client/src/modules/multi/MultiModule.ts:391
575,05.MULTI.setControls.2,2 FUTÁS KÖZBEN,05 MULTI,-,setControls,gombfelirat,mind,KÖVETÉS,,,packages/client/src/modules/multi/MultiModule.ts:588
576,05.MULTI.finish.3,2 FUTÁS KÖZBEN,05 MULTI,-,finish,eredménysor címe,mind,Többfeladatos költség,,,packages/client/src/modules/multi/MultiModule.ts:995
577,05.MULTI.finish.4,2 FUTÁS KÖZBEN,05 MULTI,-,finish,eredménysor címe,mind,Követés terhelés alatt,,,packages/client/src/modules/multi/MultiModule.ts:999
578,05.MULTI.finish.5,2 FUTÁS KÖZBEN,05 MULTI,-,finish,eredménysor címe,mind,Rendszerfigyelés,,,packages/client/src/modules/multi/MultiModule.ts:1003
579,05.MULTI.finish.6,2 FUTÁS KÖZBEN,05 MULTI,-,finish,eredménysor címe,mind,Rádió,,,packages/client/src/modules/multi/MultiModule.ts:1007
580,05.MULTI.finish.7,2 FUTÁS KÖZBEN,05 MULTI,-,finish,eredménysor címe,mind,Figyelemelosztás,,,packages/client/src/modules/multi/MultiModule.ts:1013
581,05.MULTI.finish.8,2 FUTÁS KÖZBEN,05 MULTI,-,finish,eredménysor címe,mind,Leghosszabb elhanyagolás,,,packages/client/src/modules/multi/MultiModule.ts:1020
582,05.MULTI.finish.9,2 FUTÁS KÖZBEN,05 MULTI,-,finish,eredménysor magyarázata,mind,ennyi ideig nem néztél az egyik állomásra,,,packages/client/src/modules/multi/MultiModule.ts:1022
583,05.MULTI.finish.10,2 FUTÁS KÖZBEN,05 MULTI,-,finish,eredménysor magyarázata,mind,ehhez VR kell — sík képernyőn mind a négy állomás egyszerre látszik,,,packages/client/src/modules/multi/MultiModule.ts:1027
584,05.MULTI.withAlpha.1,2 FUTÁS KÖZBEN,05 MULTI,-,withAlpha,panelszöveg,mind,ADÁS,,,packages/client/src/modules/multi/stations.ts:576
585,05.MULTI.withAlpha.2,2 FUTÁS KÖZBEN,05 MULTI,-,withAlpha,panelszöveg,mind,Csak a saját hívójeledre válaszolj.,,,packages/client/src/modules/multi/stations.ts:579
586,05.MULTI.withAlpha.3,2 FUTÁS KÖZBEN,05 MULTI,-,withAlpha,panelszöveg,mind,CSATORNA,,,packages/client/src/modules/multi/stations.ts:596
587,06.WATCH.setupTouchControls.1,2 FUTÁS KÖZBEN,06 WATCH,-,setupTouchControls,mobil súgósor,mind,"Figyeld a közös ütemet. Amint bármelyik fény kilép belőle, nyomd meg a gombot.",,,packages/client/src/modules/watch/WatchModule.ts:316
588,06.WATCH.setupTouchControls.2,2 FUTÁS KÖZBEN,06 WATCH,-,setupTouchControls,gombfelirat,mind,ELTÉRÉS,,,packages/client/src/modules/watch/WatchModule.ts:318
589,06.WATCH.setupTouchControls.3,2 FUTÁS KÖZBEN,06 WATCH,-,setupTouchControls,gomb alsó sor,mind,most lépett ki az ütemből,,,packages/client/src/modules/watch/WatchModule.ts:318
590,06.WATCH.finish.4,2 FUTÁS KÖZBEN,06 WATCH,-,finish,eredménysor címe,mind,Észlelési érzékenység (d′),,,packages/client/src/modules/watch/WatchModule.ts:879
591,06.WATCH.finish.5,2 FUTÁS KÖZBEN,06 WATCH,-,finish,eredménysor címe,mind,Éberség-lejtés,,,packages/client/src/modules/watch/WatchModule.ts:880
592,06.WATCH.finish.6,2 FUTÁS KÖZBEN,06 WATCH,-,finish,eredménysor címe,mind,Téves riasztás,,,packages/client/src/modules/watch/WatchModule.ts:881
593,06.WATCH.finish.7,2 FUTÁS KÖZBEN,06 WATCH,-,finish,eredménysor címe,mind,Detekciós idő,,,packages/client/src/modules/watch/WatchModule.ts:882
594,06.WATCH.finish.8,2 FUTÁS KÖZBEN,06 WATCH,-,finish,eredménysor címe,mind,Térbeli lefedettség,,,packages/client/src/modules/watch/WatchModule.ts:886
595,06.WATCH.finish.9,2 FUTÁS KÖZBEN,06 WATCH,-,finish,eredménysor címe,mind,Lefedettség megtartása,,,packages/client/src/modules/watch/WatchModule.ts:888
596,06.WATCH.finish.10,2 FUTÁS KÖZBEN,06 WATCH,-,finish,eredménysor címe,mind,Hátsó szektor,,,packages/client/src/modules/watch/WatchModule.ts:892
597,06.WATCH.finish.11,2 FUTÁS KÖZBEN,06 WATCH,-,finish,eredménysor magyarázata,mind,"lefedettség, hátsó detekció, mélység",,,packages/client/src/modules/watch/WatchModule.ts:894
598,06.WATCH.finish.12,2 FUTÁS KÖZBEN,06 WATCH,-,finish,eredménysor címe,mind,Térbeli mutatók,,,packages/client/src/modules/watch/WatchModule.ts:894
599,07.PRESSURE.setupTouchControls.1,2 FUTÁS KÖZBEN,07 PRESSURE,-,setupTouchControls,mobil súgósor,mind,CIÁN vagy KOCKA → BAL. MAGENTA vagy GÖMB → JOBB.,,,packages/client/src/modules/pressure/PressureModule.ts:235
600,07.PRESSURE.setupTouchControls.2,2 FUTÁS KÖZBEN,07 PRESSURE,-,setupTouchControls,gombfelirat,mind,BAL,,,packages/client/src/modules/pressure/PressureModule.ts:237
601,07.PRESSURE.setupTouchControls.3,2 FUTÁS KÖZBEN,07 PRESSURE,-,setupTouchControls,gombfelirat,mind,JOBB,,,packages/client/src/modules/pressure/PressureModule.ts:238
602,07.PRESSURE.drawStake.4,2 FUTÁS KÖZBEN,07 PRESSURE,-,drawStake,panelcímke,mind,SOROZAT,,,packages/client/src/modules/pressure/PressureModule.ts:656
603,07.PRESSURE.drawStake.5,2 FUTÁS KÖZBEN,07 PRESSURE,-,drawStake,panelcímke,mind,KOCKÁN,,,packages/client/src/modules/pressure/PressureModule.ts:660
604,07.PRESSURE.finish.6,2 FUTÁS KÖZBEN,07 PRESSURE,-,finish,eredménysor címe,mind,Pontosság nyomás alatt,,,packages/client/src/modules/pressure/PressureModule.ts:812
605,07.PRESSURE.finish.7,2 FUTÁS KÖZBEN,07 PRESSURE,-,finish,eredménysor címe,mind,Nyomás alatti romlás,,,packages/client/src/modules/pressure/PressureModule.ts:813
606,07.PRESSURE.finish.8,2 FUTÁS KÖZBEN,07 PRESSURE,-,finish,eredménysor címe,mind,Helyreállás,,,packages/client/src/modules/pressure/PressureModule.ts:814
607,07.PRESSURE.finish.9,2 FUTÁS KÖZBEN,07 PRESSURE,-,finish,eredménysor címe,mind,Interferencia-költség,,,packages/client/src/modules/pressure/PressureModule.ts:815
608,07.PRESSURE.finish.10,2 FUTÁS KÖZBEN,07 PRESSURE,-,finish,eredménysor címe,mind,Váltási költség,,,packages/client/src/modules/pressure/PressureModule.ts:816
609,07.PRESSURE.finish.11,2 FUTÁS KÖZBEN,07 PRESSURE,-,finish,eredménysor címe,mind,Hiba utáni pontosság,,,packages/client/src/modules/pressure/PressureModule.ts:817
610,07.PRESSURE-B.setTimeout.1,2 FUTÁS KÖZBEN,07 PRESSURE-B,-,setTimeout,visszajelzés,mind,LEJÁRT,,,packages/client/src/modules/pressure/PressureSpatialModule.ts:370
611,07.PRESSURE-B.drawStake.2,2 FUTÁS KÖZBEN,07 PRESSURE-B,-,drawStake,panelcímke,mind,SOROZAT,,,packages/client/src/modules/pressure/PressureSpatialModule.ts:610
612,07.PRESSURE-B.drawStake.3,2 FUTÁS KÖZBEN,07 PRESSURE-B,-,drawStake,panelcímke,mind,KOCKÁN,,,packages/client/src/modules/pressure/PressureSpatialModule.ts:614
613,07.PRESSURE-B.finish.4,2 FUTÁS KÖZBEN,07 PRESSURE-B,-,finish,eredménysor címe,mind,Simon-hatás (hely),,,packages/client/src/modules/pressure/PressureSpatialModule.ts:758
